idx,char_pos,cmdVx,cmdVy,cmdVw,ts
247,57764,0.35,0.0,0.0,2026-05-06 15:22:03.824
248,58004,0.35,0.0,0.0,2026-05-06 15:22:03.824
249,58230,0.35,0.0,0.0,2026-05-06 15:22:03.824
250,58470,0.35,0.0,0.0,2026-05-06 15:22:03.824
251,58693,0.35,0.0,0.0,2026-05-06 15:22:03.824
252,58933,0.35,0.0,0.0,2026-05-06 15:22:03.824
253,59156,0.35,0.0,0.0,2026-05-06 15:22:03.824
254,59396,0.35,0.0,0.0,2026-05-06 15:22:03.824
255,59619,0.35,0.0,0.0,2026-05-06 15:22:03.824
256,59859,0.3477,0.0,0.0,2026-05-06 15:22:03.824
257,60082,0.347,0.0,0.0,2026-05-06 15:22:03.824
258,60322,0.3412,0.0,0.0,2026-05-06 15:22:03.824
259,60545,0.3412,0.0,0.0,2026-05-06 15:22:03.824
260,60785,0.3271,0.0,0.0,2026-05-06 15:22:03.824
261,61008,0.3271,0.0,0.0,2026-05-06 15:22:03.824
262,61248,0.3039,0.0,0.0,2026-05-06 15:22:03.824
263,61471,0.2994,0.0,0.0,2026-05-06 15:22:03.824
264,61711,0.2639,0.0,0.0,2026-05-06 15:22:03.824
265,61934,0.2564,0.0,0.0,2026-05-06 15:22:03.824
266,62182,0.1922,0.0,0.0,2026-05-06 15:22:04.537
267,62405,0.1818,0.0,0.0,2026-05-06 15:22:04.537
268,62645,0.1111,0.0,0.0,2026-05-06 15:22:04.537
269,62862,0.1022,0.0,0.0,2026-05-06 15:22:04.537
270,63079,0.1022,0.0,0.0,2026-05-06 15:22:04.537
271,63127,0.0483,0.0,0.0,2026-05-06 15:22:04.537
272,63345,0.0483,0.0,0.0,2026-05-06 15:22:04.537
273,63563,0.0436,0.0,0.0,2026-05-06 15:22:04.537
274,63610,0.0226,0.0,0.0,2026-05-06 15:22:04.537
275,63828,0.0201,0.0,0.0,2026-05-06 15:22:04.537
276,64046,0.0201,0.0,0.0,2026-05-06 15:22:04.537
277,64093,0.009,0.0,0.0,2026-05-06 15:22:04.537
278,64311,0.0077,0.0,0.0,2026-05-06 15:22:04.537
279,64529,0.0065,0.0,0.0,2026-05-06 15:22:04.537
280,64576,0.0013,0.0,0.0,2026-05-06 15:22:04.537
281,64794,0.0013,0.0,0.0,2026-05-06 15:22:04.537
